backend,model,complexity,precision,seed,epochs,first_epoch_time,median_epoch_time
torch,mlp,complex,mixed_fp16,44,100,4.8857,3.8295
torch,mlp,complex,mixed_bf16,44,100,4.5375,3.8511
torch,cnn,complex,fp32,44,100,9.4252,9.1445
torch,cnn,complex,fp16,44,100,10.0544,8.8519
torch,cnn,complex,bf16,44,100,9.5472,9.1566
torch,cnn,complex,mixed_fp16,44,100,11.9873,10.9255
torch,cnn,complex,mixed_bf16,44,100,11.8696,10.356
torch,lstm,complex,fp32,44,100,2.7376,2.5503
torch,lstm,complex,fp16,44,100,2.0498,1.8212
torch,lstm,complex,bf16,44,100,16.8016,15.1997
torch,lstm,complex,mixed_fp16,44,100,2.3774,2.1208
torch,lstm,complex,mixed_bf16,44,100,2.4862,2.1419
tf-keras,mlp,complex,fp32,44,100,18.8477,1.6259
tf-keras,mlp,complex,fp16,44,100,16.8296,1.4013
tf-keras,mlp,complex,bf16,44,100,17.5254,1.4364
tf-keras,mlp,complex,mixed_fp16,44,100,20.4351,1.5441
tf-keras,mlp,complex,mixed_bf16,44,100,19.6171,1.577
tf-keras,cnn,complex,fp32,44,100,22.8445,5.4418
tf-keras,cnn,complex,fp16,44,100,23.7043,4.4422
tf-keras,cnn,complex,bf16,44,100,24.4385,4.6173
tf-keras,cnn,complex,mixed_fp16,44,100,26.8026,4.6245
tf-keras,cnn,complex,mixed_bf16,44,100,23.9459,4.594
tf-keras,lstm,complex,fp32,44,100,9.8008,4.1782
tf-keras,lstm,complex,fp16,44,100,15.0966,3.9939
tf-keras,lstm,complex,mixed_fp16,44,100,10.5104,4.1219
tf-keras,lstm,complex,mixed_bf16,44,100,9.4454,4.2942
jax,mlp,complex,fp32,44,100,13.3358,4.3324
jax,mlp,complex,fp16,44,100,12.2793,3.8866
jax,mlp,complex,bf16,44,100,12.778,3.8732
jax,mlp,complex,mixed_fp16,44,100,13.6422,4.4343
jax,mlp,complex,mixed_bf16,44,100,14.16,4.7616
jax,cnn,complex,fp32,44,100,13.9752,5.9685
jax,cnn,complex,fp16,44,100,15.1099,5.6838
jax,cnn,complex,bf16,44,100,13.3008,5.7202
jax,cnn,complex,mixed_fp16,44,100,18.7438,6.1601
jax,cnn,complex,mixed_bf16,44,100,16.6789,6.1576
jax,lstm,complex,fp32,44,100,25.7525,9.3874
jax,lstm,complex,mixed_fp16,44,100,28.3163,7.9049
jax,lstm,complex,mixed_bf16,44,100,28.6196,8.5283
torch-keras,cnn,complex,mixed_fp16,44,100,48.0769,46.2466
torch-keras,cnn,complex,mixed_bf16,44,100,44.2855,42.3509
jax,mlp,simple,fp32,45,100,5.0037,1.982
jax,mlp,simple,fp16,45,100,5.2669,2.0811
jax,mlp,simple,bf16,45,100,5.6688,2.295
jax,mlp,simple,mixed_fp16,45,100,6.1108,2.6644
jax,mlp,simple,mixed_bf16,45,100,6.3912,2.7055
jax,cnn,simple,fp32,45,100,6.2941,2.4597
jax,cnn,simple,fp16,45,100,6.152,2.4576
jax,cnn,simple,bf16,45,100,6.2015,2.7456
jax,cnn,simple,mixed_fp16,45,100,7.335,3.3055
jax,cnn,simple,mixed_bf16,45,100,7.5841,3.4135
jax,lstm,simple,fp32,45,100,8.7458,3.7638
jax,lstm,simple,mixed_fp16,45,100,10.1917,3.3509
jax,lstm,simple,mixed_bf16,45,100,10.4166,3.6042
jax-keras,mlp,simple,fp32,45,100,5.4528,1.3042
jax-keras,mlp,simple,fp16,45,100,5.3491,1.1486
jax-keras,mlp,simple,bf16,45,100,5.4593,1.142
jax-keras,mlp,simple,mixed_fp16,45,100,5.6261,1.4015
jax-keras,mlp,simple,mixed_bf16,45,100,5.3568,1.1688
jax-keras,cnn,simple,fp32,45,100,7.4229,2.0181
jax-keras,cnn,simple,fp16,45,100,6.8569,1.6484
jax-keras,cnn,simple,bf16,45,100,6.0275,1.6475
jax-keras,cnn,simple,mixed_fp16,45,100,7.0591,1.8476
jax-keras,cnn,simple,mixed_bf16,45,100,6.3915,1.9618
jax-keras,lstm,simple,fp32,45,100,7.9601,3.0714
jax-keras,lstm,simple,mixed_fp16,45,100,8.8993,2.8188
jax-keras,lstm,simple,mixed_bf16,45,100,8.9689,3.1218
tf-keras,mlp,simple,fp32,45,100,5.7185,1.2402
tf-keras,mlp,simple,fp16,45,100,5.593,1.2489
tf-keras,mlp,simple,bf16,45,100,5.7552,1.1801
tf-keras,mlp,simple,mixed_fp16,45,100,6.3576,1.2846
tf-keras,mlp,simple,mixed_bf16,45,100,6.139,1.1639
tf-keras,cnn,simple,fp32,45,100,6.4774,1.2802
tf-keras,cnn,simple,fp16,45,100,6.4023,1.4593
